Country of Origin,Country or territory of asylum or residence,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR
Somalia,Libya,2006,488,488
Somalia,Lithuania,2006,22,
Somalia,Malawi,2006,42,42
Somalia,Malaysia,2006,47,47
Somalia,Malta,2006,607,
Somalia,Mexico,2006,10,8
Somalia,Morocco,2006,1,1
Somalia,Mozambique,2006,12,
Somalia,Namibia,2006,1,
Somalia,Nepal,2006,52,52
Somalia,Netherlands,2006,8086,
Somalia,New Zealand,2006,331,
Somalia,Nicaragua,2006,4,1
Somalia,Niger,2006,12,12
Somalia,Nigeria,2006,24,24
Somalia,Norway,2006,6632,
Somalia,Pakistan,2006,244,244
Somalia,Peru,2006,2,1
Somalia,Philippines,2006,5,
Somalia,Poland,2006,135,
Somalia,Rep. of Korea,2006,2,2
Somalia,Rep. of Moldova,2006,1,1
Somalia,Romania,2006,111,5
Somalia,Rwanda,2006,11,11
Somalia,Saudi Arabia,2006,13,13
Somalia,Senegal,2006,3,3
Somalia,Slovakia,2006,2,2
Somalia,Slovenia,2006,1,
Somalia,South Africa,2006,7818,1032
Somalia,Spain,2006,147,
Somalia,Swaziland,2006,69,60
Somalia,Sweden,2006,4066,
Somalia,Switzerland,2006,3541,
Somalia,Syrian Arab Rep.,2006,1322,
Somalia,Thailand,2006,17,17
Somalia,Togo,2006,3,3
Somalia,Turkey,2006,139,139
Somalia,Uganda,2006,3752,3664
Somalia,Ukraine,2006,21,3
Somalia,United Arab Emirates,2006,23,23
Somalia,United Kingdom,2006,34138,
Somalia,United Rep. of Tanzania,2006,2086,2086
Somalia,United States,2006,72546,
Somalia,Uruguay,2006,3,1
Somalia,Yemen,2006,91587,91587
Somalia,Zambia,2006,1694,2
