Country or territory of asylum or residence,Year,Refugees,Refugees assisted by UNHCR
Indonesia,2006,22,22
Ireland,2006,408,
Italy,2006,948,
Jordan,2006,15,15
Kazakhstan,2006,1,
Kenya,2006,173702,173702
Latvia,2006,7,
Lebanon,2006,7,7
Liberia,2006,1,
Libya,2006,488,488
Lithuania,2006,22,
Malawi,2006,42,42
Malaysia,2006,47,47
Malta,2006,607,
Mexico,2006,10,8
Morocco,2006,1,1
Mozambique,2006,12,
Namibia,2006,1,
Nepal,2006,52,52
Netherlands,2006,8086,
New Zealand,2006,331,
Nicaragua,2006,4,1
Niger,2006,12,12
Nigeria,2006,24,24
Norway,2006,6632,
Pakistan,2006,244,244
Peru,2006,2,1
Philippines,2006,5,
Poland,2006,135,
Rep. of Korea,2006,2,2
Rep. of Moldova,2006,1,1
Romania,2006,111,5
Rwanda,2006,11,11
Saudi Arabia,2006,13,13
Senegal,2006,3,3
Slovakia,2006,2,2
Slovenia,2006,1,
South Africa,2006,7818,1032
Spain,2006,147,
Swaziland,2006,69,60
Sweden,2006,4066,
Switzerland,2006,3541,
Syrian Arab Rep.,2006,1322,
Thailand,2006,17,17
Togo,2006,3,3
Turkey,2006,139,139
Uganda,2006,3752,3664
Ukraine,2006,21,3
United Arab Emirates,2006,23,23
United Kingdom,2006,34138,
United Rep. of Tanzania,2006,2086,2086
United States,2006,72546,
Uruguay,2006,3,1
Yemen,2006,91587,91587
Zambia,2006,1694,2
,,,
fnSeqID,,,
*,,,
**,,,
