Lea State,LEA,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,LEP
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Students receiving only one out-of-school suspension,,110,,475,271,6567,4188,2643,1038,15292,2474
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Students receiving more than one out-of-school suspension,,36,,115,121,2905,2750,1020,506,7453,1139
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Expulsions with educational services,,20,,71,44,726,718,334,147,2060,287
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Expulsions without educational services,,0,,0,0,0,0,0,0,0,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Expulsions under zero-tolerance policies,,4,,34,8,212,165,123,56,602,97
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Transferred to Alternative School,,16,,59,40,640,562,285,125,1727,248
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Referral to law enforcement,,2,,18,18,250,376,123,56,843,77
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,School-related arrest,,0,,4,4,59,119,22,12,220,12
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2015,Total enrollment,,1447,,20517,5121,148310,44564,85530,20749,326238,61741
IL,City of Chicago SD 299,1709930,2015,Corporal punishment,0,0,,0,0,0,0,0,0,0,0
IL,City of Chicago SD 299,1709930,2015,Out-of-school suspension,18398,,,,,,,,,,
IL,City of Chicago SD 299,1709930,2015,Students receiving one or more in-school suspensions,,52,,121,14,3845,8045,446,119,12642,753
IL,City of Chicago SD 299,1709930,2015,Students receiving only one out-of-school suspension,,24,,77,8,2418,5127,352,84,8090,421
IL,City of Chicago SD 299,1709930,2015,Students receiving more than one out-of-school suspension,,8,,12,6,974,3105,87,28,4220,157
IL,City of Chicago SD 299,1709930,2015,Expulsions with educational services,,0,,0,0,68,195,2,2,267,7
IL,City of Chicago SD 299,1709930,2015,Expulsions without educational services,,0,,0,0,0,0,0,0,0,0
IL,City of Chicago SD 299,1709930,2015,Expulsions under zero-tolerance policies,,0,,0,0,2,0,0,0,2,0
IL,City of Chicago SD 299,1709930,2015,Transferred to Alternative School,,0,,0,0,21,110,0,0,131,0
IL,City of Chicago SD 299,1709930,2015,Referral to law enforcement,,4,,28,0,646,1294,87,26,2085,106
IL,City of Chicago SD 299,1709930,2015,School-related arrest,,2,,6,0,171,494,21,10,704,38
IL,City of Chicago SD 299,1709930,2015,Total enrollment,,1079,,14715,769,180844,151836,38088,4972,392303,67705
TX,HOUSTON ISD,4823640,2015,Corporal punishment,,0,,0,0,0,0,0,0,0,0
TX,HOUSTON ISD,4823640,2015,Out-of-school suspension,20398,,,,,,,,,,
TX,HOUSTON ISD,4823640,2015,Students receiving one or more in-school suspensions,,46,,117,2,7818,4543,359,74,12959,2723
TX,HOUSTON ISD,4823640,2015,Students receiving only one out-of-school suspension,,19,,60,2,3561,4126,271,50,8089,1362
TX,HOUSTON ISD,4823640,2015,Students receiving more than one out-of-school suspension,,6,,16,0,2147,1889,107,15,4180,620
TX,HOUSTON ISD,4823640,2015,Expulsions with educational services,,0,,0,0,20,24,0,4,48,12
TX,HOUSTON ISD,4823640,2015,Expulsions without educational services,,0,,0,0,0,0,0,0,0,0
TX,HOUSTON ISD,4823640,2015,Expulsions under zero-tolerance policies,,0,,0,0,20,22,0,4,46,12
TX,HOUSTON ISD,4823640,2015,Transferred to Alternative School,,0,,0,0,2,0,0,0,2,2
TX,HOUSTON ISD,4823640,2015,Referral to law enforcement,,2,,2,0,305,352,31,4,696,122
TX,HOUSTON ISD,4823640,2015,School-related arrest,,2,,2,0,305,352,31,4,696,122
TX,HOUSTON ISD,4823640,2015,Total enrollment,,539,,8085,247,133885,52744,18270,2219,215989,65307
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Corporal punishment,,0,,0,0,0,0,2,0,2,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Students receiving one or more in-school suspensions,,92,,178,106,3936,1963,2141,504,8920,1116
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Students receiving only one out-of-school suspension,,86,,270,149,3516,1792,1584,488,7885,1008
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Students receiving more than one out-of-school suspension,,44,,93,69,2086,1122,854,248,4516,625
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Expulsions with educational services,,0,,0,0,0,0,0,0,0,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Expulsions without educational services,,0,,0,0,0,0,0,0,0,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Expulsions under zero-tolerance policies,,8,,32,10,222,170,176,48,666,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Referral to law enforcement,,0,,0,0,2,2,0,0,4,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,School-related arrest,,0,,0,0,0,0,0,0,0,0
NV,CLARK COUNTY SCHOOL DISTRICT,3200060,2011,Total enrollment,,1822,,20458,4672,135069,38928,94419,18189,313557,54672
CA,LOS ANGELES UNIFIED,622710,2011,Corporal punishment,,0,,0,0,0,0,0,0,0,0
CA,LOS ANGELES UNIFIED,622710,2011,Students receiving one or more in-school suspensions,,0,,0,2,58,18,6,0,84,24
CA,LOS ANGELES UNIFIED,622710,2011,Students receiving only one out-of-school suspension,,74,,299,64,6396,2328,633,0,9794,2152
CA,LOS ANGELES UNIFIED,622710,2011,Students receiving more than one out-of-school suspension,,12,,32,2,1198,656,126,0,2026,489
CA,LOS ANGELES UNIFIED,622710,2011,Expulsions with educational services,,4,,8,0,114,22,12,0,160,45
CA,LOS ANGELES UNIFIED,622710,2011,Expulsions without educational services,,0,,0,0,4,4,2,0,10,2
CA,LOS ANGELES UNIFIED,622710,2011,Expulsions under zero-tolerance policies,,0,,0,0,0,0,0,0,0,0
CA,LOS ANGELES UNIFIED,622710,2011,Referral to law enforcement,,24,,93,14,2055,350,176,0,2712,671
CA,LOS ANGELES UNIFIED,622710,2011,School-related arrest,,0,,14,0,312,94,43,0,463,115
CA,LOS ANGELES UNIFIED,622710,2011,Total enrollment,,2492,,36437,2509,447355,52787,51950,2319,595849,168032
